"title","brand","price_chf","ean","sku","category","product_url","image_url","condition","availability","shipping_days_eu"
"Michael Kors · Rucksack Himbeer-Rosé","Michael Kors","229.90","0197853812956","bb-S0396038","Taschen & Rucksäcke","https://luxestyle.ch/products/michael-kors-rucksack-himbeer-rose","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/0197853812956_S0396038_P00.jpg","neu","auf Lager","2-7"
"Don Algodon · Damen-Umhängetasche","Don Algodon","64.90","8435726152535","bb-S4522836","Taschen & Rucksäcke","https://luxestyle.ch/products/don-algodon-damen-umhangetasche","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8435726152535_R00.jpg","neu","auf Lager","2-7"
"Guess · Herrenuhr Gold-Silber","Guess","139.90","0091661521713","bb-S0397637","Uhren","https://luxestyle.ch/products/guess-herrenuhr-gold-silber","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/0091661521713_S0397637_P00.jpg","neu","auf Lager","2-7"
"Casio · Damenuhr Edelstahl Blau","Casio","59.90","4549526309014","bb-S0398165","Uhren","https://luxestyle.ch/products/casio-damenuhr-edelstahl-blau","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4549526309014_S0398165_P00.jpg","neu","auf Lager","2-7"
"Olivia Burton · Damenuhr Floral Roségold","Olivia Burton","79.90","7613272309479","bb-S0396790","Uhren","https://luxestyle.ch/products/olivia-burton-damenuhr-floral-rosegold","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7613272309479_S0396790_P00.jpg","neu","auf Lager","2-7"
"Pierre Cardin · Herrenuhr Roségold Leder","Pierre Cardin","99.90","7611382634313","bb-S0397204","Uhren","https://luxestyle.ch/products/pierre-cardin-herrenuhr-rosegold-leder","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7611382634313_S0397204_P00.jpg","neu","auf Lager","2-7"
"Lorus · Herrenuhr Lederband","Lorus","89.90","4894138340499","bb-S0398464","Uhren","https://luxestyle.ch/products/lorus-herrenuhr-lederband","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4894138340499_S0398464_P00.jpg","neu","auf Lager","2-7"
"Paul Hewitt · Damenuhr Minimalist","Paul Hewitt","34.90","4251158726663","bb-S0397565","Uhren","https://luxestyle.ch/products/paul-hewitt-damenuhr-minimalist","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4251158726663_S0397565_P00.jpg","neu","auf Lager","2-7"
"Morellato · Damenuhr Italienisch","Morellato","39.90","8033288896494","bb-S0395305","Uhren","https://luxestyle.ch/products/morellato-damenuhr-italienisch","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8033288896494_S72103772_P00.jpg","neu","auf Lager","2-7"
"Bellevue · Damenuhr Gold mit Kristallen","Bellevue","79.90","7640166931652","bb-S0800574","Uhren","https://luxestyle.ch/products/bellevue-damenuhr-gold-mit-kristallen","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7640166931652_00_WBG0.jpg","neu","auf Lager","2-7"
"Radiant · Damenuhr Roségold","Radiant","39.90","8431242927701","bb-S0800467","Uhren","https://luxestyle.ch/products/radiant-damenuhr-rosegold","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8431242927701_S0327090_ok_P00.jpg","neu","auf Lager","2-7"
"Tommy Hilfiger · Damen-Ohrringe Edelstahl","Tommy Hilfiger","39.90","7613272263825","bb-S0800645","Schmuck","https://luxestyle.ch/products/tommy-hilfiger-damen-ohrringe-edelstahl","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/7613272263825_S0392501_P00.jpg","neu","auf Lager","2-7"
"Police · Herren-Armband Edelstahl","Police","49.90","4895220921008","bb-S0380891","Schmuck","https://luxestyle.ch/products/police-herren-armband-edelstahl","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4895220921008_S0380891_P00.jpg","neu","auf Lager","2-7"
"One Jewels · Herren-Armband Schwarz","One Jewels","89.90","5608217618404","bb-S72140414","Schmuck","https://luxestyle.ch/products/one-jewels-herren-armband-schwarz","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/5608217618404_S72140414_P00.jpg","neu","auf Lager","2-7"
"Breil · Halskette mit Anhänger","Breil","44.90","8431777844634","bb-S0800592","Schmuck","https://luxestyle.ch/products/breil-halskette-mit-anhanger","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8431777844634_S0375538_P00.jpg","neu","auf Lager","2-7"
"Radiant · Damen-Halskette Edelstahl","Radiant","39.90","8434103488175","bb-S0800716","Schmuck","https://luxestyle.ch/products/radiant-damen-halskette-edelstahl","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/S7283486_1698303322-no-background0.jpg","neu","auf Lager","2-7"
"Radiant · Damen-Ohrringe mit Kristallen","Radiant","29.90","8434103488205","bb-S0800620","Schmuck","https://luxestyle.ch/products/radiant-damen-ohrringe-mit-kristallen","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8434103488205_S7253194_P00.jpg","neu","auf Lager","2-7"
"Radiant · Damenring Edelstahl","Radiant","24.90","8434103486409","bb-S7253180","Schmuck","https://luxestyle.ch/products/radiant-damenring-edelstahl","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/8434103486409_S7253180_P00.jpg","neu","auf Lager","2-7"
"Cristian Lay · Damen-Ohrringe","Cristian Lay","19.90","5416418017434","bb-S0800442","Schmuck","https://luxestyle.ch/products/cristian-lay-damen-ohrringe","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/5416418017434_00.jpg","neu","auf Lager","2-7"
"Adore · Damen-Armreif Gold","Adore","39.90","9009654903584","bb-S0365628","Schmuck","https://luxestyle.ch/products/adore-damen-armreif-gold","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/9009654903584_S0365628_P00.jpg","neu","auf Lager","2-7"
"Fila · Sonnenbrille Verspiegelt UV400","Fila","49.90","0190605266267","bb-S0800627","Sonnenbrillen","https://luxestyle.ch/products/fila-sonnenbrille-verspiegelt-uv400","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/0190605266267_S0383059_P00.jpg","neu","auf Lager","2-7"
"L'Oréal Paris «Revitalift Filler» Aqua-Fluid SPF30","L'Oréal Paris","34.90","3600524244613","bb-S05149774","Beauty","https://luxestyle.ch/products/loreal-paris-revitalift-filler-aqua-fluid-spf30","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/3600524244613_S05149774_P00.jpg","neu","auf Lager","2-7"
"L'Oréal Professionnel «Absolut Repair Golden» Haarmaske 250 ml","L'Oréal Professionnel","39.90","3474636975327","bb-M0118790","Beauty","https://luxestyle.ch/products/loreal-professionnel-absolut-repair-golden-haarmaske-250-ml","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/3474636975327_M0118790_P00.jpg","neu","auf Lager","2-7"
"Weleda · Granatapfel Straffendes Serum","Weleda","39.90","4001638579995","bb-M0127691","Beauty","https://luxestyle.ch/products/weleda-granatapfel-straffendes-serum","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4001638579995_R00.jpg","neu","auf Lager","2-7"
"Puma «Squad Graphic» · Damen-T-Shirt","Puma","29.90","","bb-S64227844-S","Kleidung","https://luxestyle.ch/products/puma-squad-graphic-damen-t-shirt","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/S64227016_P00.jpg","neu","auf Lager","2-7"
"Puma «Essentials» · Damen-T-Shirt","Puma","29.90","","bb-S64205002-S","Kleidung","https://luxestyle.ch/products/puma-essentials-damen-t-shirt","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/4067983405327_S64202979_P20.jpg","neu","auf Lager","2-7"
"Damen-Shirt «Edelweiss» · Swiss Edition","LuxeStyle","34.90","","gelato-edelweiss-shirt","T-Shirt","https://luxestyle.ch/products/damen-shirt-edelweiss-swiss-edition","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/dad9585e-08a7-4166-9b63-727aefaccee7.webp","neu","auf Lager","2-7"
"Jogger «Edelweiss» · Swiss Edition","LuxeStyle","59.90","","gelato-edelweiss-jogger","Jogginghose","https://luxestyle.ch/products/jogger-edelweiss-swiss-edition","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/da929dad-9db8-4915-8b67-c3fb39579633.webp","neu","auf Lager","2-7"
"Schweiz-Poster «Grüezi» – Mundart-Kunstdruck","LuxeStyle","14.90","","gelato-poster-gruezi","Poster","https://luxestyle.ch/products/schweiz-poster-gruezi","https://cdn.shopify.com/s/files/1/0943/6856/3585/files/00cfda95-9032-4291-b754-6014b134c70c.webp","neu","auf Lager","2-7"
