sku,preis,kosten
CJJM290904101AZ,39.90,20.16
CJYD291606301AZ,29.90,11.68
CJMY291644901AZ,27.90,12.42
CJTZ291646601AZ,29.90,15.79
CJLX291641301AZ,16.90,6.13
CJYD291631801AZ,19.90,5.51
CJCF291521601AZ,16.90,6.04
CJLS291594901AZ,44.90,19.58
CJNS291601701AZ,29.90,13.25
CJYD291564701AZ,54.90,27.94
CJNS291505601AZ,34.90,16.57
CJNS291580901AZ,49.90,24.23
CJYD291581501AZ,27.90,13.24
CJCJ291442401AZ,14.90,9.36
CJYD291498201AZ,16.90,8.68
CJYD291539501AZ,24.90,9.46
200000182-193-black-cologne,29.90,15.67
CJCS291691301AZ,29.90,10.21
CJLY291744901AZ,29.90,11.99
CJYD291736301AZ,39.90,15.33
CJYD291724701AZ,44.90,14.81
CJYD291685801AZ,44.90,16.52
CJLX291630902BY,18.90,7.21
CJCS291647801AZ,19.90,7.87
CJLY291739901AZ,32.90,14.22
LX-DIFF-WHITE,29.90,
LX-JWL-GOLD,24.90,
LX-PHN-BLACK,19.90,
LX-LAMP-WHITE,24.90,
LX-CLOCK-BLACK,27.90,
LX-BAG-M,34.90,
CJLX291744001AZ,16.90,6.29
CJLX291705301AZ,14.90,5.89
CJSL291703201AZ,14.90,6.00
CJLX291638001AZ,29.90,11.21
CJSL291738101AZ,19.90,7.83
CJLX291650701AZ,22.90,10.39
CJLX291714501AZ,18.90,7.45
CJCF291677701AZ,19.90,5.45
CJLY291898301AZ,34.90,11.93
CJLY291996601AZ,39.90,20.42
CJLY291901501AZ,39.90,15.10
CJLY291990701AZ,34.90,10.89
CJNS291831501AZ,99.90,49.55
CJTZ291880701AZ,34.90,13.31
CJLY291959601AZ,34.90,13.56
CJLS292434301AZ,34.90,16.08
CJTZ292404401AZ,44.90,20.58
CJLS292332801AZ,29.90,13.54
CJTW292383501AZ,39.90,21.40
CJYD292287901AZ,39.90,14.19
CJWY292394901AZ,34.90,16.52
CJYD292391602BY,24.90,15.17
CJNS292327001AZ,24.90,9.41
CJLX292395401AZ,24.90,6.57
CJBL292096701AZ,19.90,6.98
CJSL292427701AZ,24.90,9.43
CJJE292261401AZ,139.90,50.67
CJJT292075701AZ,44.90,39.14
CJLX292432701AZ,29.90,11.29
CJYD292369001AZ,19.90,5.90
CJLX292466201AZ,16.90,5.49
CJLX292451601AZ,49.90,20.88
CJYD292416901AZ,44.90,30.20
CJQZ292420601AZ,34.90,13.51
CJNS291743801AZ,24.90,15.12
CJJE292462001AZ,119.90,46.17
CJLX292475701AZ,24.90,10.39
CJSL292454101AZ,34.90,14.90
CJLY292494801AZ,39.90,12.56
CJNZ292527101AZ,29.90,13.41
CJYD292235201AZ,19.90,7.21
CJYD292448601AZ,34.90,13.51
CJYD292434601AZ,49.90,15.98
CJDS292382801AZ,34.90,13.91
CJMY292437901AZ,34.90,14.51
CJMZ292572201AZ,19.90,6.39
CJLY292520701AZ,39.90,14.42
CJDS292426801AZ,34.90,10.54
CJNS292524101AZ,34.90,22.10
CJYD292453101AZ,59.90,10.18
CJLY292433401AZ,39.90,14.63
CJYD292202801AZ,39.90,15.26
CJCF290789501AZ,19.90,6.48
CJLY292533401AZ,49.90,19.72
CJYD292621201AZ,29.90,9.72
CJYD292367701AZ,44.90,20.76
CJNS292489901AZ,39.90,18.30
CJYD292379001AZ,34.90,16.00
CJYD292649001AZ,39.90,14.70
CJNS292151801AZ,54.90,29.24
5599797_9526,27.90,9.76
1726823_5426,38.90,13.74
2069171_10458,32.90,12.15
9365183_1320,19.90,5.18
8279135_7853,30.90,12.70
8524891_49310,52.90,19.51
8481330_11576,23.90,5.97
CJYD292304401AZ,44.90,15.12
CJNS292170002BY,49.90,26.80
CJYD292534301AZ,39.90,20.66
CJTW292464301AZ,59.90,20.02
CJYD292633701AZ,69.90,18.31
CJLS292534701AZ,59.90,18.09
CJLX292557401AZ,39.90,8.17
CJDK292568901AZ,49.90,17.01
CJLX292477201AZ,29.90,10.39
CJNS291823709IR,54.90,27.41
8755604_46353,86.90,33.37
3615382_20688,33.90,13.74
4950408_20175,44.90,16.93
3424232_10163,14.90,1.99
2298810_9014,52.90,24.09
6933254_8353,61.90,27.28
5070666_9063,76.90,30.67
6267182_10996,22.90,8.96
1989990_19769,71.90,29.07
6706312_8905,35.90,13.34
7500684_18730,82.90,36.60
9844202_10877,101.90,43.61
1886540_22905,72.90,27.84
4944509_11033,80.90,32.86
2360450_9098,50.90,23.06
CJMB289246601AZ,34.90,16.16
CJMY292646901AZ,39.90,11.68
CJCJ292269801AZ,54.90,28.79
CJJT292249301AZ,16.90,11.57
TRANSFER-A5,11.90,
aee8d787,14.90,7.54
7528f54f,14.90,7.47
b6f25eea,14.90,7.47
5f1f96e8,14.90,7.47
62e8af05,14.90,7.47
f0083aed,14.90,7.47
3a060bb4,14.90,7.47
b2fe420d,14.90,7.47
58159cb5,14.90,7.47
b56083b3,14.90,7.47
