"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"3D-Wimpern selbstklebend · ohne Kleber, natürlich | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-062-3d-wimpern-selbstklebend-ohne-kleber-nat-rlich.jpg","Wellness & Beauty","","3D-Wimpern selbstklebend · ohne Kleber, natürlich 🧖‍♀️ Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 14.90 — −10% mit Code WELCOME10. #selfcare #beauty #wellness #schweiz #skincare","https://luxestyle.ch/products/selbstklebende-3d-wimpern-wiederverwendbar-ohne-kleber-naturlicher-look","2026-09-20 12:00","selfcare, beauty, wellness"
"Reed-Diffuser «Aroma» · Duftstäbchen ohne Flamme | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-065-reed-diffuser-aroma-duftst-bchen-ohne-flamme.jpg","Home & Geschenkideen","","Reed-Diffuser «Aroma» · Duftstäbchen ohne Flamme 🏡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 16.90 — −10% mit Code WELCOME10. #homedeko #geschenkidee #schweiz #interior #homedecor","https://luxestyle.ch/products/reed-diffuser-aroma-duftstabchen-ohne-flamme","2026-09-20 13:30","home deko, geschenkidee, interior"
"Plateau-Sandalen · Retro-Style, Komfort-Sohle | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-048-plateau-sandalen-retro-style-komfort-sohle.jpg","Schuhe & Sandalen","","Plateau-Sandalen · Retro-Style, Komfort-Sohle 👡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 29.90 — −10% mit Code WELCOME10. #schuhe #sommerschuhe #shoes #schweiz","https://luxestyle.ch/products/plateau-sandalen-damen-retro-style-mit-komfort-sohle-sommer-2026","2026-09-20 15:00","damenschuhe, sommerschuhe, schuhe"
"Herren-Sommershirt «Breeze» · leicht & atmungsaktiv | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-006-herren-sommershirt-breeze-leicht-atmungsaktiv.jpg","Herrenmode Schweiz","","Herren-Sommershirt «Breeze» · leicht & atmungsaktiv 👔 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 24.90 — −10% mit Code WELCOME10. #herrenmode #menstyle #schweiz #menswear","https://luxestyle.ch/products/herren-sommershirt-breeze-leicht-atmungsaktiv","2026-09-20 16:30","herrenmode, menstyle, herren"
"Perlen-Anhänger «Coquille» · Muschel-Form, vergoldet | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-020-perlen-anh-nger-coquille-muschel-form-vergoldet.jpg","Schmuck & Accessoires","","Perlen-Anhänger «Coquille» · Muschel-Form, vergoldet 💎 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 24.90 — −10% mit Code WELCOME10. #schmuck #jewelry #schweiz #accessoires","https://luxestyle.ch/products/perlen-anhanger-coquille-muschel-form-vergoldet","2026-09-20 18:00","schmuck, damenschmuck, accessoires"
"Floral-Sommerkleid «Marguerite» · Rüschen-Träger | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-031-floral-sommerkleid-marguerite-r-schen-tr-ger.jpg","Sommerkleider & Damenmode 2026","","Floral-Sommerkleid «Marguerite» · Rüschen-Träger ☀️ Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 34.90 — −10% mit Code WELCOME10. #sommerkleid #ootd #schweiz #damenmode #fashion","https://luxestyle.ch/products/floral-sommerkleid-marguerite-ruschen-trager-figurbetont","2026-09-20 19:00","sommerkleid, damenmode schweiz, ootd"
"Spülbecken-Organizer · Schwamm- & Seifenhalter | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-066-sp-lbecken-organizer-schwamm-seifenhalter.jpg","Home & Geschenkideen","","Spülbecken-Organizer · Schwamm- & Seifenhalter 🏡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 24.90 — −10% mit Code WELCOME10. #homedeko #geschenkidee #schweiz #interior #homedecor","https://luxestyle.ch/products/spulbecken-organizer-schwamm-seifenhalter-mit-ablauf","2026-09-20 20:00","home deko, geschenkidee, interior"
"Keil-Sandalen «Capri» · Geflochten, Espadrille-Look | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/py2-034-keil-sandalen-capri-geflochten-espadrille-look.jpg","Schuhe & Sandalen","","Keil-Sandalen «Capri» · Geflochten, Espadrille-Look 👡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 39.90 — −10% mit Code WELCOME10. #schuhe #sommerschuhe #shoes #schweiz","https://luxestyle.ch/products/keil-sandalen-capri-geflochten-espadrille-look","2026-09-20 21:00","damenschuhe, sommerschuhe, schuhe"
"Herren-Strickshirt «Riviera» · Cord-Kurzarm | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-007-herren-strickshirt-riviera-cord-kurzarm.jpg","Herrenmode Schweiz","","Herren-Strickshirt «Riviera» · Cord-Kurzarm 👔 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 24.90 — −10% mit Code WELCOME10. #herrenmode #menstyle #schweiz #menswear","https://luxestyle.ch/products/herren-strickshirt-riviera-cord-kurzarm","2026-09-20 22:00","herrenmode, menstyle, herren"
"Oversized-Sonnenbrille «Street» · getönt, Square-Style | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-021-oversized-sonnenbrille-street-get-nt-square-style.jpg","Schmuck & Accessoires","","Oversized-Sonnenbrille «Street» · getönt, Square-Style 💎 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 19.90 — −10% mit Code WELCOME10. #schmuck #jewelry #schweiz #accessoires","https://luxestyle.ch/products/oversized-sonnenbrille-street-getont-square-style-3-farben","2026-09-21 07:30","schmuck, damenschmuck, accessoires"
"Mini-Kleid «Ruffle» · Spaghetti-Träger, elastisch | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-032-mini-kleid-ruffle-spaghetti-tr-ger-elastisch.jpg","Sommerkleider & Damenmode 2026","","Mini-Kleid «Ruffle» · Spaghetti-Träger, elastisch ☀️ Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 29.90 — −10% mit Code WELCOME10. #sommerkleid #ootd #schweiz #damenmode #fashion","https://luxestyle.ch/products/mini-kleid-mit-ruschen-spaghetti-trager-elastisch-sommer-2026","2026-09-21 09:00","sommerkleid, damenmode schweiz, ootd"
"Smartwatch Pro 1.78″ AMOLED · Fitness & Bluetooth | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-067-smartwatch-pro-1-78-amoled-fitness-bluetooth.jpg","Home & Geschenkideen","","Smartwatch Pro 1.78″ AMOLED · Fitness & Bluetooth 🎁 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 69.90 — −10% mit Code WELCOME10. #geschenkidee #gadget #schweiz #geschenk #homedecor","https://luxestyle.ch/products/smartwatch-pro-1-78-amoled-herzfrequenz-fitness-tracker-bluetooth","2026-09-21 10:30","geschenkidee, gadget, geschenke schweiz"
"Plateau-Pumps «Wild» · Leoparden-Print, Knöchelriemen | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/py2-035-plateau-pumps-wild-leoparden-print-kn-chelriemen.jpg","Schuhe & Sandalen","","Plateau-Pumps «Wild» · Leoparden-Print, Knöchelriemen 👡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 44.90 — −10% mit Code WELCOME10. #schuhe #sommerschuhe #shoes #schweiz","https://luxestyle.ch/products/plateau-pumps-wild-leoparden-print-knochelriemen","2026-09-21 12:00","damenschuhe, sommerschuhe, schuhe"
"Herren-Sommerhemd «Monsieur» · French-Court, Kurzarm | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-008-herren-sommerhemd-monsieur-french-court-kurzarm.jpg","Herrenmode Schweiz","","Herren-Sommerhemd «Monsieur» · French-Court, Kurzarm 👔 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 44.90 — −10% mit Code WELCOME10. #herrenmode #menstyle #schweiz #menswear","https://luxestyle.ch/products/herren-sommerhemd-monsieur-french-court-style-kurzarm","2026-09-21 13:30","herrenmode, menstyle, herren"
"Boston-Henkeltasche «Lussa» · Echtleder, Bowling-Stil | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-023-boston-henkeltasche-lussa-echtleder-bowling-stil.jpg","Schmuck & Accessoires","","Boston-Henkeltasche «Lussa» · Echtleder, Bowling-Stil 💎 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 99.90 — −10% mit Code WELCOME10. #schmuck #jewelry #schweiz #accessoires","https://luxestyle.ch/products/boston-henkeltasche-lussa-echtleder-im-bowling-stil-damen-9-farben","2026-09-21 15:00","schmuck, damenschmuck, accessoires"
"Elegantes Sommerkleid A-Linie – Hemdkragen, fliessend | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/py2-001-elegantes-sommerkleid-a-linie-hemdkragen-fliessend.jpg","Sommerkleider & Damenmode 2026","","Elegantes Sommerkleid A-Linie – Hemdkragen, fliessend ☀️ Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 44.90 — −10% mit Code WELCOME10. #sommerkleid #ootd #schweiz #damenmode #fashion","https://luxestyle.ch/products/elegantes-sommerkleid-a-linie-hemdkragen-fliessend-damen-3-farben","2026-09-21 16:30","sommerkleid, damenmode schweiz, ootd"
"Rugged Smartwatch X5 · 5 ATM, GPS, Calling | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/px-068-rugged-smartwatch-x5-5-atm-gps-calling.jpg","Home & Geschenkideen","","Rugged Smartwatch X5 · 5 ATM, GPS, Calling 🎁 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 79.90 — −10% mit Code WELCOME10. #geschenkidee #gadget #schweiz #geschenk #homedecor","https://luxestyle.ch/products/rugged-smartwatch-x5-5-atm-wasserdicht-gps-bluetooth-calling","2026-09-21 18:00","geschenkidee, gadget, geschenke schweiz"
"Plateau-Sneaker «Cloud» · Spitzen-Mesh, geschnürt | LuxeStyle CH","https://raw.githubusercontent.com/allengchour-glitch/aban-news-landing/main/dropship/pins/py2-036-plateau-sneaker-cloud-spitzen-mesh-geschn-rt.jpg","Schuhe & Sandalen","","Plateau-Sneaker «Cloud» · Spitzen-Mesh, geschnürt 👡 Schweizer Online-Shop, Lieferung in die ganze Schweiz. CHF 39.90 — −10% mit Code WELCOME10. #schuhe #sommerschuhe #shoes #schweiz","https://luxestyle.ch/products/plateau-sneaker-cloud-spitzen-mesh-geschnurt","2026-09-21 19:00","damenschuhe, sommerschuhe, schuhe"
