kollektion-publiziert	socken-strumpfe	gid://shopify/Collection/689028989313
kollektion-publiziert	haustier-tech	gid://shopify/Collection/689253613953
kollektion-publiziert	socken-strumpfe	gid://shopify/Collection/689028989313
kollektion-publiziert	haustier-tech	gid://shopify/Collection/689253613953
artikel	gid://shopify/Article/1001471771009	vatertag-2026-die-perfekten-geschenke	/products/klassische-herrenuhren-edelstahl-saphirglas-50m-wasserdicht=>/products/herren-business-quarzuhr-mit-stahlarmband-620300;/products/premium-slim-wallet-rfid-schutz-echtleder=>/products/premium-leder-geldborse-slim;/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized;/collections/bundle-vatertag-gentleman=>/collections/geschenke-fuer-ihn
artikel	gid://shopify/Article/1001471803777	5-minuten-morgen-routine-jade-roller-gua-sha	/collections/bundle-beauty-self-care=>/collections/beauty-selfcare
artikel	gid://shopify/Article/1001471836545	sommer-2026-must-haves-festival-strand-reise	/products/retro-sonnenbrille-polarisiert-uv400-unisex-vintage=>/products/sonnenbrillen-set-retro-polarized
artikel	gid://shopify/Article/1001472196993	ultimative-self-care-routine-wellness-hacks	/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/aromatherapie-diffuser-bambus=>/collections/sub-aroma-diffuser;/collections/bundle-beauty-self-care=>/collections/beauty-selfcare
artikel	gid://shopify/Article/1001472229761	geschenk-guide-2026-fuer-jeden-typ	/collections/bundle-eltern-erstausstattung=>/collections/baby-kleinkind;/collections/bundle-beauty-self-care=>/collections/beauty-selfcare;/collections/bundle-vatertag-gentleman=>/collections/geschenke-fuer-ihn;/collections/geschenk-ideen=>/collections/premium-geschenke
artikel	gid://shopify/Article/1001493758337	welcher-aroma-diffuser-passt-zu-dir-guide-2026	/products/flame-diffuser-7-farben-kamin-effekt=>/collections/sub-aroma-diffuser;/products/wood-grain-aroma-diffuser-500ml-holzdesign-premium=>/collections/sub-aroma-diffuser;/products/smart-aroma-diffuser-app-gesteuert-bluetooth=>/collections/sub-aroma-diffuser;/products/planet-globe-led-diffuser-galaxy-aura=>/collections/sub-aroma-diffuser;/products/200m3-smart-diffuser-premium-bluetooth=>/collections/sub-aroma-diffuser;/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001493791105	aromatherapy-guide-10-atherische-ole-wirkung	/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001493823873	10-wellness-geschenke-unter-chf-50-2026	/products/jade-roller-gua-sha-set-rosenquarz-premium=>/products/rosenquarz-und-jade-roller-mit-3d-metall-609500;/products/mini-robo-diffuser-auto-ai-lichter-usb=>/collections/sub-aroma-diffuser;/products/galaxy-aurora-led-projektor-360-sternenhimmel=>/products/sternenhimmel-projektor-galaxy-led-nachtlicht-527681;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser;/products/smart-aroma-diffuser-app-gesteuert-bluetooth=>/collections/sub-aroma-diffuser;/products/planet-globe-led-diffuser-galaxy-aura=>/collections/sub-aroma-diffuser;/products/wood-grain-aroma-diffuser-500ml-holzdesign-premium=>/collections/sub-aroma-diffuser;/products/flame-diffuser-7-farben-kamin-effekt=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001494020481	atherische-ole-guide-schweiz	/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001495953793	lavendel-wellness-champion-schweiz	/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001496838529	aromatherapie-fur-anfanger	/products/%F0%9F%8C%B8-aromatherapy-starter-wood-grain-diffuser-6er-ole-set=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001545924993	adventskalender-erwachsene-vergleich-2026	/products/%F0%9F%8E%84-adventskalender-deluxe-2026-24-premium-lifestyle-uberraschungen=>/collections/premium-geschenke;/products/%F0%9F%8E%85-adventskalender-luxestyle-24-premium-uberraschungen=>/collections/premium-geschenke;/products/%F0%9F%8E%84-beauty-adventskalender-2026-24-premium-mini-produkte=>/collections/beauty-pflege;/products/%F0%9F%92%86-selfcare-box-wellness-jade-roller-seide-kerzen-spare-chf-30=>/collections/wellness-komplettset;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/%F0%9F%8E%84-adventskalender-deluxe-2026-24-premium-lifestyle-uberraschungen=>/collections/premium-geschenke;/products/%F0%9F%8E%85-adventskalender-luxestyle-24-premium-uberraschungen=>/collections/premium-geschenke
artikel	gid://shopify/Article/1001545957761	akupressurmatte-anwendung-wirkung	/products/akupressur-matte-premium-set-mit-kissen-kuznetsov-spikes-sport-wellness=>/collections/wellness-massage;/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/faszienrolle-premium-3er-set-schaumstoff-roller-triggerpunkt-ball-peanut-roller=>/collections/sub-yoga-fitness;/products/yoga-matte-premium-tpe-rutschfest-6mm-mit-tragegurt=>/collections/sub-yoga-fitness;/products/%F0%9F%92%86-recovery-set-premium-akupressur-matte-faszienrolle-wolldecke-spare-chf-25=>/collections/wellness-massage;/products/akupressur-matte-premium-set-mit-kissen-kuznetsov-spikes-sport-wellness=>/collections/wellness-massage
artikel	gid://shopify/Article/1001545990529	anti-aging-serum-hyaluron-vitamin-c-routine	/products/anti-aging-serum-hyaluron-vitamin-c-vegan-made-in-eu=>/products/24k-anti-aging-serum-710722;/products/augencreme-premium-koffein-retinol-gegen-augenringe=>/collections/hautpflege-skincare;/products/vegane-gesichtsmaske-7-tage-set-mit-pflanzenextrakten=>/collections/hautpflege-skincare;/products/seiden-kissenbezug-100-maulbeerseide-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/%F0%9F%92%8E-premium-beauty-komplett-set-anti-aging-serum-augencreme-wimpernserum-body-lotion-gesichtsmaske=>/collections/hautpflege-skincare;/products/anti-aging-serum-hyaluron-vitamin-c-vegan-made-in-eu=>/products/24k-anti-aging-serum-710722
artikel	gid://shopify/Article/1001546023297	besser-schlafen-7-wellness-gadgets	/products/bambus-aroma-diffuser-300ml=>/collections/sub-aroma-diffuser;/products/galaxy-aurora-led-projektor-360-sternenhimmel=>/products/sternenhimmel-projektor-galaxy-led-nachtlicht-527681
artikel	gid://shopify/Article/1001546056065	beste-aroma-diffuser-2026-kaufratgeber-schweiz	/products/bambus-aroma-diffuser-300ml=>/collections/sub-aroma-diffuser;/products/bambus-aroma-diffuser-300ml=>/collections/sub-aroma-diffuser
artikel	gid://shopify/Article/1001546088833	bluetooth-kopfhoerer-anc-kaufratgeber	/products/bluetooth-kopfhorer-anc-active-noise-cancellation-40h-akku=>/collections/kopfhoerer-audio;/products/in-ear-kopfhorer-anc-bluetooth-5-3-ipx5-36h-akku=>/collections/kopfhoerer-audio;/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/bluetooth-speaker-360-ipx7-wasserdicht-24h-akku=>/collections/kopfhoerer-audio;/products/bluetooth-kopfhorer-anc-active-noise-cancellation-40h-akku=>/collections/kopfhoerer-audio
artikel	gid://shopify/Article/1001546121601	bluetooth-speaker-wasserdicht-outdoor-guide	/products/bluetooth-speaker-360-ipx7-wasserdicht-24h-akku=>/collections/kopfhoerer-audio;/products/premium-kuhlbox-25l-72h-kalt-usb-anschluss=>/products/25l-auto-kuhlbox-fur-unterwegs-631200;/products/bambus-picknick-set-4-personen-geschirr-besteck-korb=>/collections/sub-kueche;/products/bluetooth-speaker-360-ipx7-wasserdicht-24h-akku=>/collections/kopfhoerer-audio
artikel	gid://shopify/Article/1001546154369	cashmere-decke-pflege-einrichtungstipps	/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration;/products/seiden-kissenbezug-100-maulbeerseide-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/pillow-spray-premium-lavendel-schlaf-mist-100ml-aromatherapie-beruhigend=>/collections/wellness-komplettset;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset;/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration
artikel	gid://shopify/Article/1001546187137	duftkerzen-sojawachs-vs-paraffin-ratgeber	/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration;/products/%F0%9F%92%86-selfcare-box-wellness-jade-roller-seide-kerzen-spare-chf-30=>/collections/wellness-komplettset;/products/%F0%9F%92%86-beauty-bundle-jade-roller-salzlampe-duftkerzen=>/collections/wellness-komplettset;/products/%F0%9F%8C%BF-ritual-box-wellness-palo-santo-galaxy-aurora-projektor-soja-duftkerzen-spare-chf-25=>/collections/wellness-komplettset;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration
artikel	gid://shopify/Article/1001546219905	echtleder-accessoires-pflegen-anleitung	/products/herren-gurtel-echtleder-edelstahl-schliesse-kurzbar=>/products/elastischer-herren-gurtel-mit-automatikschlies-611300;/products/herren-lederarmband-edelstahl-anker-premium-maritime-style=>/collections/herrenuhren-schmuck;/products/laptop-sleeve-echtleder-13-15-macbook-universal=>/products/3-in-1-laptop-sleeve-mit-wireless-charger-654900;/products/premium-schlusselanhanger-leder-personalisierbar-mit-gravur=>/products/leder-schlusselanhanger-782ed7;/products/%F0%9F%8E%81-gentlemans-premium-gift-box-diver-watch-slim-wallet-leather-bracelet-cufflinks=>/collections/geschenke-fuer-ihn;/products/herren-gurtel-echtleder-edelstahl-schliesse-kurzbar=>/products/elastischer-herren-gurtel-mit-automatikschlies-611300
artikel	gid://shopify/Article/1001546252673	edelstahl-schmuck-pflege-hypoallergen	/products/damen-armband-edelstahl-minimalistisch-hypoallergen=>/collections/geschenke-fuer-sie;/products/herren-halskette-edelstahl-minimalistisch-hypoallergen=>/products/herren-halskette-fenrir-edelstahl-weizenkette-wasserfest;/products/schmuckbox-premium-mit-spiegel-portable-mit-kettenhalter-ohrring-display=>/products/kompakte-schmuckbox-mit-spiegel-602500;/products/reise-schmuckbinder-premium-leder-anti-oxidation-kompakt-fur-handgepack=>/collections/sub-reise;/products/damen-ohrring-set-3-paare-edelstahl-925-hypoallergen=>/collections/geschenke-fuer-sie;/products/herren-lederarmband-edelstahl-anker-premium-maritime-style=>/collections/herrenuhren-schmuck
artikel	gid://shopify/Article/1001546285441	einschlaf-ritual-aromatherapie-pillow-spray	/products/premium-atherische-ole-set-6er-aromatherapy-diffuser-vegan=>/collections/sub-aroma-diffuser;/products/aroma-diffuser-bambus-500ml-7-led-farben-ultraschall=>/collections/sub-aroma-diffuser;/products/pillow-spray-premium-lavendel-schlaf-mist-100ml-aromatherapie-beruhigend=>/collections/wellness-komplettset;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/seiden-kissenbezug-100-maulbeerseide-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset;/products/pillow-spray-premium-lavendel-schlaf-mist-100ml-aromatherapie-beruhigend=>/collections/wellness-komplettset;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset
artikel	gid://shopify/Article/1001546350977	faszienrolle-uebungen-anleitung	/products/faszienrolle-premium-3er-set-schaumstoff-roller-triggerpunkt-ball-peanut-roller=>/collections/sub-yoga-fitness;/products/yoga-matte-premium-tpe-rutschfest-6mm-mit-tragegurt=>/collections/sub-yoga-fitness;/products/wearable-nacken-massage-device=>/collections/wellness-massage;/products/akupressur-matte-premium-set-mit-kissen-kuznetsov-spikes-sport-wellness=>/collections/wellness-massage;/products/%F0%9F%92%86-recovery-set-premium-akupressur-matte-faszienrolle-wolldecke-spare-chf-25=>/collections/wellness-massage;/products/faszienrolle-premium-3er-set-schaumstoff-roller-triggerpunkt-ball-peanut-roller=>/collections/sub-yoga-fitness
artikel	gid://shopify/Article/1001546383745	french-press-perfekter-kaffee-anleitung	/products/french-press-doppelwand-glas-premium-coffee-tea-pot-borosilikat-350-650-1000ml=>/products/french-press-kaffeebereiter-aus-borosilikatgla-600200;/products/wellness-bambus-tablett=>/collections/wellness-komplettset;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm-1=>/collections/sub-trinkflaschen;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/bambus-picknick-set-4-personen-geschirr-besteck-korb=>/collections/sub-kueche;/products/french-press-doppelwand-glas-premium-coffee-tea-pot-borosilikat-350-650-1000ml=>/products/french-press-kaffeebereiter-aus-borosilikatgla-600200
artikel	gid://shopify/Article/1001546416513	galaxy-projektor-sternenhimmel-lampen-test	/products/galaxy-aurora-led-projektor-360-sternenhimmel=>/products/sternenhimmel-projektor-galaxy-led-nachtlicht-527681;/products/galaxy-aurora-led-projektor-360-sternenhimmel=>/products/sternenhimmel-projektor-galaxy-led-nachtlicht-527681
artikel	gid://shopify/Article/1001546449281	geschenkboxen-sets-verschenken-ideen	/products/%F0%9F%92%86-beauty-bundle-jade-roller-salzlampe-duftkerzen=>/collections/wellness-komplettset;/products/%F0%9F%92%8E-premium-beauty-komplett-set-anti-aging-serum-augencreme-wimpernserum-body-lotion-gesichtsmaske=>/collections/hautpflege-skincare;/products/%F0%9F%8C%B8-aromatherapy-starter-wood-grain-diffuser-6er-ole-set=>/collections/sub-aroma-diffuser;/products/%F0%9F%92%86-selfcare-box-wellness-jade-roller-seide-kerzen-spare-chf-30=>/collections/wellness-komplettset;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset;/products/%F0%9F%8C%B8-muttertag-box-2026-schmuck-beauty-seide-spare-chf-60=>/collections/geschenke-fuer-sie;/products/%F0%9F%8E%81-gentlemans-premium-gift-box-diver-watch-slim-wallet-leather-bracelet-cufflinks=>/collections/geschenke-fuer-ihn;/products/%F0%9F%8C%B8-aromatherapy-starter-wood-grain-diffuser-6er-ole-set=>/collections/sub-aroma-diffuser;/products/%F0%9F%92%86-beauty-bundle-jade-roller-salzlampe-duftkerzen=>/collections/wellness-komplettset
artikel	gid://shopify/Article/1001546514817	geschenke-fuer-frauen-2026-schweiz	/products/anti-aging-serum-hyaluron-vitamin-c-vegan-made-in-eu=>/products/24k-anti-aging-serum-710722;/products/%F0%9F%92%86-selfcare-box-wellness-jade-roller-seide-kerzen-spare-chf-30=>/collections/wellness-komplettset;/products/damen-armband-edelstahl-minimalistisch-hypoallergen=>/collections/geschenke-fuer-sie;/products/damen-portemonnaie-xl-echtleder-12-kartenfacher-rfid=>/products/damen-portemonnaie-aus-echtleder-mit-vielen-ka-622100;/products/seiden-kissenbezug-100-maulbeerseide-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/%F0%9F%92%86-selfcare-box-wellness-jade-roller-seide-kerzen-spare-chf-30=>/collections/wellness-komplettset
artikel	gid://shopify/Article/1001546547585	geschenke-fuer-kaffeeliebhaber	/products/french-press-doppelwand-glas-premium-coffee-tea-pot-borosilikat-350-650-1000ml=>/products/french-press-kaffeebereiter-aus-borosilikatgla-600200;/products/edelstahl-thermosflasche-750ml-24h-kalt-12h-warm-1=>/collections/sub-trinkflaschen;/products/wellness-bambus-tablett=>/collections/wellness-komplettset;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration;/products/premium-notebook-pen-set-a5-echtleder-touch-pen-business-geschenk=>/collections/buero-schreibwaren
artikel	gid://shopify/Article/1001546580353	geschenke-fuer-maenner-2026-schweiz	/products/slim-kartenetui-rfid-echtleder-aluminium-bis-8-karten=>/products/premium-leder-geldborse-slim;/products/herren-gurtel-echtleder-edelstahl-schliesse-kurzbar=>/products/elastischer-herren-gurtel-mit-automatikschlies-611300;/products/herren-lederarmband-edelstahl-anker-premium-maritime-style=>/collections/herrenuhren-schmuck;/products/herren-halskette-edelstahl-minimalistisch-hypoallergen=>/products/herren-halskette-fenrir-edelstahl-weizenkette-wasserfest;/products/manschettenknopfe-edelstahl-klassisches-design-fur-anzug-hemd=>/products/manschettenknopfe-aus-edelstahl-mit-alphabet-607917;/products/bluetooth-kopfhorer-anc-active-noise-cancellation-40h-akku=>/collections/kopfhoerer-audio;/products/in-ear-kopfhorer-anc-bluetooth-5-3-ipx5-36h-akku=>/collections/kopfhoerer-audio;/products/smartwatch-pro-amoled-herzfrequenz-100-sportmodi-7-tage-akku=>/products/smartwatch-pro-1-78-amoled-herzfrequenz-fitness-tracker-bluetooth;/products/premium-schlusselanhanger-leder-personalisierbar-mit-gravur=>/products/leder-schlusselanhanger-782ed7;/products/%F0%9F%8E%81-gentlemans-premium-gift-box-diver-watch-slim-wallet-leather-bracelet-cufflinks=>/collections/geschenke-fuer-ihn
artikel	gid://shopify/Article/1001546645889	herrenuhr-kaufen-ratgeber-schweiz	/products/herren-lederarmband-edelstahl-anker-premium-maritime-style=>/collections/herrenuhren-schmuck;/products/manschettenknopfe-edelstahl-klassisches-design-fur-anzug-hemd=>/products/manschettenknopfe-aus-edelstahl-mit-alphabet-607917;/products/herren-gurtel-echtleder-edelstahl-schliesse-kurzbar=>/products/elastischer-herren-gurtel-mit-automatikschlies-611300;/products/%F0%9F%8E%81-gentlemans-premium-gift-box-diver-watch-slim-wallet-leather-bracelet-cufflinks=>/collections/geschenke-fuer-ihn
artikel	gid://shopify/Article/1001546678657	himalaya-salzlampe-wirkung-mythen	/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen;/products/hepa-luftreiniger-smart-35m-app-steuerung-flusterleise=>/collections/haushaltsgeraete;/products/aroma-diffuser-bambus-500ml-7-led-farben-ultraschall=>/collections/sub-aroma-diffuser;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset;/products/himalaya-salzkristall-lampe-naturkristall=>/collections/beleuchtung-lampen
artikel	gid://shopify/Article/1001546711425	hochzeitsgeschenke-schweiz-ideen	/products/%F0%9F%8E%81-bedside-spa-gift-box-salt-crystal-lamp-pillow-spray-cashmere-blanket-soy-candles=>/collections/wellness-komplettset;/products/%F0%9F%8E%81-hosting-premium-gift-box-crystal-carafe-champagne-glasses-wine-set-bamboo-tray=>/collections/sub-kueche;/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration;/products/seiden-kissenbezug-100-maulbeerseide-anti-aging-haarpflege=>/products/seidenkissenbezug-aus-100-maulbeerseide-128704;/products/french-press-doppelwand-glas-premium-coffee-tea-pot-borosilikat-350-650-1000ml=>/products/french-press-kaffeebereiter-aus-borosilikatgla-600200;/products/%F0%9F%8C%99-sleep-ritual-box-salzkristall-lampe-pillow-spray-cashmere-wolldecke-spare-chf-25=>/collections/wellness-komplettset
artikel	gid://shopify/Article/1001546744193	home-office-gesuender-einrichten	/products/blue-light-brille-anti-blaulicht-pc-gaming-home-office=>/collections/pc-homeoffice;/products/aroma-diffuser-bambus-500ml-7-led-farben-ultraschall=>/collections/sub-aroma-diffuser;/products/hepa-luftreiniger-smart-35m-app-steuerung-flusterleise=>/collections/haushaltsgeraete;/products/faszienrolle-premium-3er-set-schaumstoff-roller-triggerpunkt-ball-peanut-roller=>/collections/sub-yoga-fitness;/products/wearable-nacken-massage-device=>/collections/wellness-massage
artikel	gid://shopify/Article/1001546776961	minimalistisch-einrichten-wohnaccessoires	/products/pflanzentopfe-3er-set-keramik-minimalistisch-mit-bambus-untersetzer=>/collections/wohnen-dekoration;/products/wandbilder-3er-set-minimalistisch-leinwand-mit-rahmen=>/collections/wohnen-dekoration;/products/cashmere-look-wolldecke-180-130-jacquard-nordic-style-sofa-bett=>/collections/wohnen-dekoration;/products/soja-duftkerzen-4er-set-vintage-rose-lavendel=>/collections/wohnen-dekoration
artikel	gid://shopify/Article/1001546842497	nackenverspannung-loesen-zuhause	/products/yoga-matte-premium-tpe-rutschfest-6mm-mit-tragegurt=>/collections/sub-yoga-fitness;/products/akupressur-matte-premium-set-mit-kissen-kuznetsov-spikes-sport-wellness=>/collections/wellness-massage;/products/wearable-nacken-massage-device=>/collections/wellness-massage;/products/faszienrolle-premium-3er-set-schaumstoff-roller-triggerpunkt-ball-peanut-roller=>/collections/sub-yoga-fitness;/products/pillow-spray-premium-lavendel-schlaf-mist-100ml-aromatherapie-beruhigend=>/collections/wellness-komplettset;/products/%F0%9F%92%86-recovery-set-premium-akupressur-matte-faszienrolle-wolldecke-spare-chf-25=>/collections/wellness-massage;/products/akupressur-matte-premium-set-mit-kissen-kuznetsov-spikes-sport-wellness=>/collections/wellness-massage
