# zeit	aktion	produkt	handle	regel	feld	alt	neu	status — google_titel_reparatur.py
2026-09-23T18:52:39Z	SCHREIB	gid://shopify/Product/15459593453953	aschenbecher-mit-deckel-602700	RAUCH	kategorie	gid://shopify/TaxonomyCategory/hg-10-16	gid://shopify/TaxonomyCategory/hg-19-1	ok
2026-09-23T18:52:39Z	SCHREIB	gid://shopify/Product/15459593453953	aschenbecher-mit-deckel-602700	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:52:39Z	SCHREIB	gid://shopify/Product/15459593453953	aschenbecher-mit-deckel-602700	RAUCH	tags_weg	aufbewahrung,becher,organizer		ok
2026-09-23T18:52:43Z	SCHREIB	gid://shopify/Product/15460655726977	ombre-t-shirt-mit-used-look-602800	USED	titel	Ombre T-Shirt mit Used-Look	Ombre T-Shirt mit Vintage-Look	ok
2026-09-23T18:52:43Z	SCHREIB	gid://shopify/Product/15460655726977	ombre-t-shirt-mit-used-look-602800	USED	seo_beschreibung	Ombre T-Shirt mit Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Ombre T-Shirt mit Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:43Z	UEBERSPRUNGEN	gid://shopify/Product/15460655726977	ombre-t-shirt-mit-used-look-602800	USED	beschreibung			text-sperre-belegt
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	titel	Schockresistenter Schutz	Stossfeste iPhone-Hülle aus Silikon, transparent	ok
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	typ	Trend-Produkt	Handy-Zubehör	ok
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	kategorie		gid://shopify/TaxonomyCategory/el-4-8-4-2	ok
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	seo_titel	Schockresistenter Schutz | LuxeStyle CH	Stossfeste iPhone-Hülle aus Silikon, transparent | LuxeStyle CH	ok
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	seo_beschreibung	Schockresistenter Schutz – der Trend-Hit bei LuxeStyle Schweiz.	Stossfeste iPhone-Hülle aus Silikon, transparent – der Trend-Hit bei LuxeStyle Schweiz.	ok
2026-09-23T18:52:45Z	SCHREIB	gid://shopify/Product/15471974973825	schockresistenter-schutz-625600	EINZEL	tags_weg	damen-taschen		ok
2026-09-23T18:52:48Z	SCHREIB	gid://shopify/Product/15472337420673	herren-hoodie-im-used-look-633500	USED	titel	Herren Hoodie im Used-Look	Herren Hoodie im Vintage-Look	ok
2026-09-23T18:52:48Z	SCHREIB	gid://shopify/Product/15472337420673	herren-hoodie-im-used-look-633500	USED	seo_beschreibung	Herren Hoodie im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Herren Hoodie im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:48Z	UEBERSPRUNGEN	gid://shopify/Product/15472337420673	herren-hoodie-im-used-look-633500	USED	beschreibung			text-sperre-belegt
2026-09-23T18:52:50Z	SCHREIB	gid://shopify/Product/15473084694913	distressed-washed-denim-jeans-615500	USED	titel	Used-Look-Jeans, gewaschen	Vintage-Look-Jeans, gewaschen	ok
2026-09-23T18:52:53Z	SCHREIB	gid://shopify/Product/15473389011329	patchwork-wide-leg-jeans-im-used-look-612400	USED	titel	Patchwork Wide-leg Jeans im Used-Look	Patchwork Wide-leg Jeans im Vintage-Look	ok
2026-09-23T18:52:53Z	SCHREIB	gid://shopify/Product/15473389011329	patchwork-wide-leg-jeans-im-used-look-612400	USED	seo_beschreibung	Patchwork Wide-leg Jeans im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Patchwork Wide-leg Jeans im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:52:53Z	UEBERSPRUNGEN	gid://shopify/Product/15473389011329	patchwork-wide-leg-jeans-im-used-look-612400	USED	beschreibung			text-sperre-belegt
2026-09-23T18:52:55Z	SCHREIB	gid://shopify/Product/15485311680897	sassy-distressed-hoodie-625300	USED	titel	Hoodie im Used-Look	Hoodie im Vintage-Look	ok
2026-09-23T18:52:56Z	SCHREIB	gid://shopify/Product/15492036067713	loose-fit-wide-leg-hose-im-used-look-614900	USED	titel	Loose-Fit Wide-Leg Hose im Used-Look	Loose-Fit Wide-Leg Hose im Vintage-Look	ok
2026-09-23T18:52:56Z	SCHREIB	gid://shopify/Product/15492036067713	loose-fit-wide-leg-hose-im-used-look-614900	USED	seo_beschreibung	Loose-Fit Wide-Leg Hose im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Loose-Fit Wide-Leg Hose im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:00Z	SCHREIB	gid://shopify/Product/15492129653121	rebellious-washed-distressed-short-sleeve-top-633300	USED	titel	Kurzarm-Top im Used-Look, gewaschen	Kurzarm-Top im Vintage-Look, gewaschen	ok
2026-09-23T18:53:00Z	UEBERSPRUNGEN	gid://shopify/Product/15492129653121	rebellious-washed-distressed-short-sleeve-top-633300	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:03Z	SCHREIB	gid://shopify/Product/15492264034689	herren-jeans-im-used-look-636600	USED	titel	Herren Jeans im Used-Look	Herren Jeans im Vintage-Look	ok
2026-09-23T18:53:03Z	SCHREIB	gid://shopify/Product/15492264034689	herren-jeans-im-used-look-636600	USED	seo_beschreibung	Herren Jeans im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Herren Jeans im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:03Z	UEBERSPRUNGEN	gid://shopify/Product/15492264034689	herren-jeans-im-used-look-636600	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:06Z	SCHREIB	gid://shopify/Product/15492326785409	used-look-patchwork-jeans-fur-herren-625300	USED	titel	Used-Look Patchwork Jeans für Herren	Vintage-Look Patchwork Jeans für Herren	ok
2026-09-23T18:53:06Z	SCHREIB	gid://shopify/Product/15492326785409	used-look-patchwork-jeans-fur-herren-625300	USED	seo_beschreibung	Used-Look Patchwork Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Vintage-Look Patchwork Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:06Z	UEBERSPRUNGEN	gid://shopify/Product/15492326785409	used-look-patchwork-jeans-fur-herren-625300	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:08Z	SCHREIB	gid://shopify/Product/15493706580353	st-michael-distressed-zip-up-hoodie-616100	USED	titel	Zip-Hoodie im Used-Look mit St.-Michael-Print	Zip-Hoodie im Vintage-Look mit St.-Michael-Print	ok
2026-09-23T18:53:11Z	SCHREIB	gid://shopify/Product/15493778145665	retro-straight-jeans-mit-used-look-628400	USED	titel	Retro Straight Jeans mit Used-Look	Retro Straight Jeans mit Vintage-Look	ok
2026-09-23T18:53:11Z	SCHREIB	gid://shopify/Product/15493778145665	retro-straight-jeans-mit-used-look-628400	USED	seo_beschreibung	Retro Straight Jeans mit Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Retro Straight Jeans mit Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:11Z	UEBERSPRUNGEN	gid://shopify/Product/15493778145665	retro-straight-jeans-mit-used-look-628400	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:14Z	SCHREIB	gid://shopify/Product/15493865931137	slim-fit-used-look-jeans-fur-herren-616600	USED	titel	Slim Fit Used-Look Jeans für Herren	Slim Fit Vintage-Look Jeans für Herren	ok
2026-09-23T18:53:14Z	SCHREIB	gid://shopify/Product/15493865931137	slim-fit-used-look-jeans-fur-herren-616600	USED	seo_beschreibung	Slim Fit Used-Look Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Slim Fit Vintage-Look Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:14Z	UEBERSPRUNGEN	gid://shopify/Product/15493865931137	slim-fit-used-look-jeans-fur-herren-616600	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:17Z	SCHREIB	gid://shopify/Product/15493874418049	heavyweight-kapuzenjacke-im-used-look-631300	USED	titel	Heavyweight Kapuzenjacke im Used-Look	Heavyweight Kapuzenjacke im Vintage-Look	ok
2026-09-23T18:53:17Z	SCHREIB	gid://shopify/Product/15493874418049	heavyweight-kapuzenjacke-im-used-look-631300	USED	seo_beschreibung	Heavyweight Kapuzenjacke im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Heavyweight Kapuzenjacke im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:17Z	UEBERSPRUNGEN	gid://shopify/Product/15493874418049	heavyweight-kapuzenjacke-im-used-look-631300	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:21Z	SCHREIB	gid://shopify/Product/15493895324033	used-look-jeans-fur-herren-600800	USED	titel	Used-Look Jeans für Herren	Vintage-Look Jeans für Herren	ok
2026-09-23T18:53:21Z	SCHREIB	gid://shopify/Product/15493895324033	used-look-jeans-fur-herren-600800	USED	seo_beschreibung	Used-Look Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Vintage-Look Jeans für Herren – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:21Z	UEBERSPRUNGEN	gid://shopify/Product/15493895324033	used-look-jeans-fur-herren-600800	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:23Z	SCHREIB	gid://shopify/Product/15495024312705	elektronischer-auto-aschenbecher-mit-ladefunkt-629500	RAUCH	typ	Elektronik	Raucherzubehör	ok
2026-09-23T18:53:23Z	SCHREIB	gid://shopify/Product/15495024312705	elektronischer-auto-aschenbecher-mit-ladefunkt-629500	RAUCH	kategorie	gid://shopify/TaxonomyCategory/el	gid://shopify/TaxonomyCategory/hg-19-1	ok
2026-09-23T18:53:23Z	SCHREIB	gid://shopify/Product/15495024312705	elektronischer-auto-aschenbecher-mit-ladefunkt-629500	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:53:23Z	SCHREIB	gid://shopify/Product/15495024312705	elektronischer-auto-aschenbecher-mit-ladefunkt-629500	RAUCH	tags_weg	becher		ok
2026-09-23T18:53:27Z	SCHREIB	gid://shopify/Product/15495149781377	auberginen-zigarrenanzunder-mit-doppelflamme-947328	RAUCH	typ	Küche & Bar	Raucherzubehör	ok
2026-09-23T18:53:27Z	SCHREIB	gid://shopify/Product/15495149781377	auberginen-zigarrenanzunder-mit-doppelflamme-947328	RAUCH	kategorie	gid://shopify/TaxonomyCategory/hg-11	gid://shopify/TaxonomyCategory/hg-19	ok
2026-09-23T18:53:27Z	SCHREIB	gid://shopify/Product/15495149781377	auberginen-zigarrenanzunder-mit-doppelflamme-947328	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:53:27Z	SCHREIB	gid://shopify/Product/15495149781377	auberginen-zigarrenanzunder-mit-doppelflamme-947328	RAUCH	tags_weg	kochen,kueche		ok
2026-09-23T18:53:29Z	SCHREIB	gid://shopify/Product/15498839785857	elektronisches-zigarren-hygrometer-619800	RAUCH	typ	Werkzeug & Heimwerken	Raucherzubehör	ok
2026-09-23T18:53:29Z	SCHREIB	gid://shopify/Product/15498839785857	elektronisches-zigarren-hygrometer-619800	RAUCH	kategorie	gid://shopify/TaxonomyCategory/ha-15	gid://shopify/TaxonomyCategory/hg-19	ok
2026-09-23T18:53:29Z	SCHREIB	gid://shopify/Product/15498839785857	elektronisches-zigarren-hygrometer-619800	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:53:29Z	SCHREIB	gid://shopify/Product/15498839785857	elektronisches-zigarren-hygrometer-619800	RAUCH	tags_weg	heimwerken,werkzeug		ok
2026-09-23T18:53:32Z	SCHREIB	gid://shopify/Product/15498887397761	kompakter-zigarrenkasten-627900	RAUCH	typ	Aufbewahrung & Organizer	Raucherzubehör	ok
2026-09-23T18:53:32Z	SCHREIB	gid://shopify/Product/15498887397761	kompakter-zigarrenkasten-627900	RAUCH	kategorie	gid://shopify/TaxonomyCategory/hg-10-16	gid://shopify/TaxonomyCategory/hg-19	ok
2026-09-23T18:53:32Z	SCHREIB	gid://shopify/Product/15498887397761	kompakter-zigarrenkasten-627900	RAUCH	tags_dazu		smoke-zubehoer	ok
2026-09-23T18:53:32Z	SCHREIB	gid://shopify/Product/15498887397761	kompakter-zigarrenkasten-627900	RAUCH	tags_weg	aufbewahrung,organizer		ok
2026-09-23T18:53:33Z	SCHREIB	gid://shopify/Product/15500901351809	eisige-meeresoberflache-607000	EINZEL	titel	Eisige Meeresoberfläche	Press-on-Nägel «Eisige Meeresoberfläche», 10 Stück	ok
2026-09-23T18:53:33Z	SCHREIB	gid://shopify/Product/15500901351809	eisige-meeresoberflache-607000	EINZEL	seo_titel	Eisige Meeresoberfläche | LuxeStyle CH	Press-on-Nägel «Eisige Meeresoberfläche», 10 Stück | LuxeStyle CH	ok
2026-09-23T18:53:33Z	SCHREIB	gid://shopify/Product/15500901351809	eisige-meeresoberflache-607000	EINZEL	seo_beschreibung	Eisige Meeresoberfläche – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Press-on-Nägel «Eisige Meeresoberfläche», 10 Stück – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:34Z	SCHREIB	gid://shopify/Product/15502303756673	laser-silber-rippband-75mm-50-yards-026496	EINZEL	titel	Laser-Silber-Rippband, 75mm, 50 Yards	Ripsband in Silber mit Glanzeffekt, 75 mm, 50 Yards	ok
2026-09-23T18:53:34Z	SCHREIB	gid://shopify/Product/15502303756673	laser-silber-rippband-75mm-50-yards-026496	EINZEL	seo_titel	Laser-Silber-Rippband, 75mm, 50 Yards | LuxeStyle CH	Ripsband in Silber mit Glanzeffekt, 75 mm, 50 Yards | LuxeStyle CH	ok
2026-09-23T18:53:34Z	SCHREIB	gid://shopify/Product/15502303756673	laser-silber-rippband-75mm-50-yards-026496	EINZEL	seo_beschreibung	Laser-Silber-Rippband, 75mm, 50 Yards – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Ripsband in Silber mit Glanzeffekt, 75 mm, 50 Yards – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:39Z	SCHREIB	gid://shopify/Product/15502483030401	herren-langarmhemd-im-used-look-620200	USED	titel	Herren Langarmhemd im Used-Look	Herren Langarmhemd im Vintage-Look	ok
2026-09-23T18:53:39Z	SCHREIB	gid://shopify/Product/15502483030401	herren-langarmhemd-im-used-look-620200	USED	seo_titel	Herren Langarmhemd im Used-Look | LuxeStyle CH	Herren Langarmhemd im Vintage-Look | LuxeStyle CH	ok
2026-09-23T18:53:39Z	SCHREIB	gid://shopify/Product/15502483030401	herren-langarmhemd-im-used-look-620200	USED	seo_beschreibung	Herren Langarmhemd im Used-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Herren Langarmhemd im Vintage-Look – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:39Z	UEBERSPRUNGEN	gid://shopify/Product/15502483030401	herren-langarmhemd-im-used-look-620200	USED	beschreibung			text-sperre-belegt
2026-09-23T18:53:42Z	SCHREIB	gid://shopify/Product/15503124398465	spiral-pipe-atomizer-fur-trockene-krauter-467392	RAUCH	typ	Werkzeug & Heimwerken	Raucherzubehör	ok
2026-09-23T18:53:42Z	SCHREIB	gid://shopify/Product/15503124398465	spiral-pipe-atomizer-fur-trockene-krauter-467392	RAUCH	kategorie	gid://shopify/TaxonomyCategory/ha-15	gid://shopify/TaxonomyCategory/hg-19	ok
2026-09-23T18:53:42Z	SCHREIB	gid://shopify/Product/15503124398465	spiral-pipe-atomizer-fur-trockene-krauter-467392	RAUCH	tags_dazu		raucher,smoke-zubehoer	ok
2026-09-23T18:53:42Z	SCHREIB	gid://shopify/Product/15503124398465	spiral-pipe-atomizer-fur-trockene-krauter-467392	RAUCH	tags_weg	heimwerken,werkzeug		ok
2026-09-23T18:53:44Z	SCHREIB	gid://shopify/Product/15504006873473	baustein-luxuslimousine-auf-raedern-334528	EINZEL	titel	Luxus-Limousine · Baustein-Auto auf Rädern	Baustein-Set Luxus-Limousine – Spielzeugauto zum Bauen	ok
2026-09-23T18:53:44Z	SCHREIB	gid://shopify/Product/15504006873473	baustein-luxuslimousine-auf-raedern-334528	EINZEL	typ	Spass-Elektronik	Spielzeug	ok
2026-09-23T18:53:44Z	SCHREIB	gid://shopify/Product/15504006873473	baustein-luxuslimousine-auf-raedern-334528	EINZEL	tags_weg	rc		ok
2026-09-23T18:53:47Z	SCHREIB	gid://shopify/Product/15506142265729	retro-ohrringe-im-used-look-mit-kettendetail-626900	USED	titel	Retro-Ohrringe im Used-Look mit Kettendetail	Retro-Ohrringe im Vintage-Look mit Kettendetail	ok
2026-09-23T18:53:47Z	SCHREIB	gid://shopify/Product/15506142265729	retro-ohrringe-im-used-look-mit-kettendetail-626900	USED	seo_titel	Retro-Ohrringe im Used-Look mit Kettendetail | LuxeStyle CH	Retro-Ohrringe im Vintage-Look mit Kettendetail | LuxeStyle CH	ok
2026-09-23T18:53:47Z	SCHREIB	gid://shopify/Product/15506142265729	retro-ohrringe-im-used-look-mit-kettendetail-626900	USED	seo_beschreibung	Retro-Ohrringe im Used-Look mit Kettendetail – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	Retro-Ohrringe im Vintage-Look mit Kettendetail – bei LuxeStyle Schweiz. Gratis-Versand ab CHF 50, 30 Tage Rückgabe.	ok
2026-09-23T18:53:47Z	UEBERSPRUNGEN	gid://shopify/Product/15506142265729	retro-ohrringe-im-used-look-mit-kettendetail-626900	USED	beschreibung			text-sperre-belegt
